Mean z-score	ID	Symbol	CHROMOSOME	STARTPOS
7.78359554753923	AA455271	GRINA	8	145136277
6.83939917520643	AA291486	PTK2	8	141737677
6.76806063087255	AA630094	SIAHBP1	8	144970537
6.49220245270151	AA434161	MAF1	8	145225526
6.02007595461925	AA455301	GPAA1	8	145209512
5.94849240861583	AA447774	CYC1	8	145221980
5.79142374711051	AA055193	ZNF706	8	102278381
5.20626501660115	W32403	MRPL15	8	55222599
4.86903240958598	AA600214	LAPTM4B	8	98856985
4.81994255360174	T82414	RAB2A	8	61592023
4.74937270202077	H27554	EDD1	8	103325013
4.3552582318532	H00817	LYPLA1	8	55121481
4.28628592932906	AA181333	TTC35	8	109524969
4.22776254415453	H28984	PTDSS1	8	97342518
4.2218383741065	AA460599	COPS5	8	68117871
3.84770672663938	W56451	ZNF34	8	145969307
3.81576655340926	N72715	HRSP12	8	99183715
3.59801034406724	AA115059	ARMC1	8	66677512
3.55730172343128	H05768	ATP6V1C1	8	104102419
3.49360237441093	AA455521	E2F5	8	86276870
3.41228290018375	AA664284	UQCRB	8	97311936
3.37997506952864	H15321	TRAM1	8	71648226
3.31225615653276	AA234889	ANKRD46	8	101602169
3.19926502521529	R33098	TERF1	8	74083648
3.06402120697531	AA448676	UBE2V2	8	49083547
3.06218793971623	AA464529	STK3	8	99536031
2.82463777609226	R77770	NCOA2	8	71186821
2.60997250891110	AA421687	TSTA3	8	144765925
2.50500315060262	T50699		8	110645595
2.47803413690448	AA455800	GGH	8	64090090
2.44562256188083	N62766	NSMAF	8	59658624
2.21291901134876	AA088861	CDH17	8	95208565
1.99742287124368	AA455545		8	101232015
1.98957197664562	AA485983	MCM4	8	49036047
1.87496473782746	AA452566	PXMP3	8	78057520
1.87229205761917	AA683102	RAD21	8	117927355
1.78347151964726	AA167188	ZHX1	8	124329872
1.67991770865299	R38102		8	53697567
1.61281737484797	N93082	EIF2C2	8	141599438
1.58488136803108	AA459100	TPD52	8	81111302
1.57995785205996	H72538	DECR1	8	91082756
1.47915625462338	AA669674	EIF3S6	8	109283140
1.38924146501635	AA453783	MAL2	8	120289758
1.34102770980878	AA485749	YWHAZ	8	102032258
1.32237747122641	AA486403	NDRG1	8	134318596
1.25635964762010	T59948	DDEF1	8	131134171
1.21139740109205	H93423	RPS20	8	57148169
1.1841092595669	AA485369	TMEM65	8	125393412
1.02004546107222	R45054	CRH	8	67251165
0.981420087487217	W67139	LYNX1	8	143849612
0.951809867911862	N33237	POP1	8	99239395
0.898247729766862	R48004	MYC	8	128817530
0.786935481964626	AA478596	ZHX2	8	123863151
0.769117727279619	H87934	CALB1	8	91140007
0.755077073992457	AA099747	CHMP4C	8	82807223
0.721446227307292	AA418251	PLAG1	8	57236772
0.709832373185132	T68333	FZD6	8	104380248
0.705783968359615	AA486531	PABPC1	8	101784338
0.623190996067358	N92864	CPSF1	8	145589241
0.600134335286272	W74802		8	102572572
0.590409127593664	AA456931	COX6C	8	100959535
0.577225028712393	H53479	TRPS1	8	116665653
0.573513130862424	AA455614	SDCBP	8	59628282
0.479394738560287	AA676805	MTSS1	8	125632194
0.419175363234549	AA005409	LOC157562	8	102248210
0.408803042116279	AA448400	PLEC1	8	145061309
0.396826712082613	AA487582	EXT1	8	119189872
0.38409411795178	N72009		8	101772676
0.276535797418212	N92734	MTDH	8	98807865
0.186547188062151	N32949		8	124579311
0.126926719674639	R38161		8	101997929
0.126738948772492	AA464962	COMMD5	8	146046354
0.122952024814169	AA043494		8	48812029
0.0911118649140275	AA426010	PMP2	8	82515116
0.0866288261387287	H64346		8	97575031
0.0720377664111243	H09996	MMP16	8	89118578
0.0658168457369189	AA464518		8	81616565
0.062107351721088	AA010252	C8orf31	8	144192079
0.0581534739487291	T55975	PTK2	8	141801574
0.0482050687712005	AA676515	AZIN1	8	103907706
0.0477928980112626	AA071473	MATN2	8	98969358
0.0323004367185279	AA427400	SOX17	8	55533633
0.0158026546189608	T78475		8	66683940
0.0147250884162625	AA292382	LRRC24	8	145714197
-0.133727403705873	R93176	CA1	8	86427706
-0.166207227882478	H90219	IMPA1	8	82732730
-0.169231388817057	R25045	SNTG1	8	51730615
-0.244209005403981	T61269	FLJ20366	8	110655553
-0.28423311106048	H43662		8	82552926
-0.408593608989864	AA281667	PKIA	8	79590891
-0.461570833444452	H08136		8	65452422
-0.533772606624945	R18248	IMPA1	8	82700845
-0.57453770620624	AA485141	SLA	8	134118151
-0.641445708562857	N92901	FABP4	8	82553453
-0.793478564859338	N53492	ZFHX4	8	77928163
-0.935957558912077	T55399	LYN	8	56954915
-1.11232335038131	N64741		8	49992740
-1.54262105661141	H23187	CA2	8	86563433
-2.01493736640109	AA418077	GEM	8	95330652
